Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
34,0,2,639,781,0,417db1c3f6c5414092021ff2ca769e22,,02a5d1c69f5d44cfa9d2a256e62725a7,828,2020-09-14T12:41:01.4830-0500,637357020614830000,1615743661
79,0,0,288,3600,0,417db1c3f6c5414092021ff2ca769e22,,02a5d1c69f5d44cfa9d2a256e62725a7,829,2020-09-14T12:41:52.0830-0500,637357021120830000,1615743712
53,0,0,511,2409,0,417db1c3f6c5414092021ff2ca769e22,,02a5d1c69f5d44cfa9d2a256e62725a7,830,2020-09-14T12:43:32.2540-0500,637357022122540000,1615743812
21,0,0,370,148,0,417db1c3f6c5414092021ff2ca769e22,,02a5d1c69f5d44cfa9d2a256e62725a7,831,2020-09-14T12:45:18.1050-0500,637357023181050000,1615743918
4,0,0,450,75,0,417db1c3f6c5414092021ff2ca769e22,,02a5d1c69f5d44cfa9d2a256e62725a7,832,2020-09-14T12:47:11.3489-0500,637357024313489000,1615744031
78,0,0,228,1976,0,417db1c3f6c5414092021ff2ca769e22,,02a5d1c69f5d44cfa9d2a256e62725a7,833,2020-09-14T12:47:31.7390-0500,637357024517390000,1615744052
8,0,0,854,0,0,417db1c3f6c5414092021ff2ca769e22,,02a5d1c69f5d44cfa9d2a256e62725a7,834,2020-09-14T12:49:28.3250-0500,637357025683250000,1615744168
49,0,0,395,1580,0,417db1c3f6c5414092021ff2ca769e22,,02a5d1c69f5d44cfa9d2a256e62725a7,835,2020-09-14T12:50:13.6460-0500,637357026136460000,1615744214
42,0,0,400,1520,0,417db1c3f6c5414092021ff2ca769e22,,02a5d1c69f5d44cfa9d2a256e62725a7,836,2020-09-14T12:51:23.5639-0500,637357026835639000,1615744284
15,0,0,81,0,0,417db1c3f6c5414092021ff2ca769e22,,02a5d1c69f5d44cfa9d2a256e62725a7,837,2020-09-14T12:53:06.5880-0500,637357027865880000,1615744387
