Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
15,0,0,0,3,0,417db1c3f6c5414092021ff2ca769e22,,053b8b9d38d14f0097a16ff3f2df98fa,1528,2021-01-23T13:47:06.0270-0500,637470244260270000,1627066026
38,24,1,4,60,0,417db1c3f6c5414092021ff2ca769e22,,053b8b9d38d14f0097a16ff3f2df98fa,1529,2021-01-23T13:49:06.2410-0500,637470245462410000,1627066146
15,0,0,5,0,0,417db1c3f6c5414092021ff2ca769e22,,053b8b9d38d14f0097a16ff3f2df98fa,1530,2021-01-23T13:50:13.6000-0500,637470246136000000,1627066214
15,0,0,5,0,0,417db1c3f6c5414092021ff2ca769e22,,053b8b9d38d14f0097a16ff3f2df98fa,1531,2021-01-23T13:50:46.1980-0500,637470246461980000,1627066246
7,0,0,20,0,0,417db1c3f6c5414092021ff2ca769e22,,053b8b9d38d14f0097a16ff3f2df98fa,1532,2021-01-23T13:51:11.0780-0500,637470246710780000,1627066271
15,0,0,5,0,0,417db1c3f6c5414092021ff2ca769e22,,053b8b9d38d14f0097a16ff3f2df98fa,1533,2021-01-23T13:51:59.5440-0500,637470247195440000,1627066320
19,6,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,053b8b9d38d14f0097a16ff3f2df98fa,1534,2021-01-23T13:53:02.9670-0500,637470247829670000,1627066383
13,2,1,24,32,0,417db1c3f6c5414092021ff2ca769e22,,053b8b9d38d14f0097a16ff3f2df98fa,1535,2021-01-23T13:54:26.1700-0500,637470248661700000,1627066466
49,36,2,0,48,0,417db1c3f6c5414092021ff2ca769e22,,053b8b9d38d14f0097a16ff3f2df98fa,1536,2021-01-23T13:55:03.3750-0500,637470249033750000,1627066503
15,0,0,18,0,0,417db1c3f6c5414092021ff2ca769e22,,053b8b9d38d14f0097a16ff3f2df98fa,1537,2021-01-23T13:56:37.7930-0500,637470249977930000,1627066598
