Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,Key,Id,Date,DateInTicks,TTL
38,1,1,1572,660,0,070fce8dd1b0443cafbbad0eccba462e,733,2019-12-23T15:02:25.2160-0500,637127281452160000,1592942545
5,0,0,665,0,0,070fce8dd1b0443cafbbad0eccba462e,734,2019-12-23T15:03:23.2540-0500,637127282032540000,1592942603
3,0,0,266,0,0,070fce8dd1b0443cafbbad0eccba462e,735,2019-12-23T15:07:12.6270-0500,637127284326270000,1592942833
15,0,0,133,0,0,070fce8dd1b0443cafbbad0eccba462e,736,2019-12-23T15:15:23.6010-0500,637127289236010000,1592943324
15,0,0,133,0,0,070fce8dd1b0443cafbbad0eccba462e,737,2019-12-23T15:16:05.3520-0500,637127289653520000,1592943365
15,0,0,399,0,0,070fce8dd1b0443cafbbad0eccba462e,738,2019-12-23T15:18:26.5540-0500,637127291065540000,1592943507
1,0,0,532,0,0,070fce8dd1b0443cafbbad0eccba462e,739,2019-12-23T15:18:48.5250-0500,637127291285250000,1592943529
15,0,0,532,0,0,070fce8dd1b0443cafbbad0eccba462e,740,2019-12-23T15:19:56.2839-0500,637127291962839000,1592943596
8,0,0,798,0,0,070fce8dd1b0443cafbbad0eccba462e,741,2019-12-23T15:22:10.9210-0500,637127293309210000,1592943731
7,0,0,931,0,0,070fce8dd1b0443cafbbad0eccba462e,742,2019-12-23T15:22:52.8690-0500,637127293728690000,1592943773
