Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,Key,Id,Date,DateInTicks,TTL
8,0,0,0,4,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,2719,2020-01-26T11:33:17.1110-0500,637156531971110000,1595781197
1,0,0,0,2,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,2720,2020-01-26T11:33:52.4450-0500,637156532324450000,1595781232
4,0,0,0,4,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,2721,2020-01-26T11:34:10.6040-0500,637156532506040000,1595781251
1,0,0,0,6,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,2722,2020-01-26T11:35:03.5740-0500,637156533035740000,1595781304
15,0,0,0,1,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,2723,2020-01-26T11:35:25.6550-0500,637156533256550000,1595781326
15,0,0,0,1,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,2724,2020-01-26T11:45:17.1800-0500,637156539171800000,1595781917
15,0,0,0,2,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,2725,2020-01-26T11:46:43.2930-0500,637156540032930000,1595782003
40,0,1,0,8,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,2726,2020-01-26T11:47:02.4390-0500,637156540224390000,1595782022
12,0,0,0,1,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,2727,2020-01-26T11:48:10.0470-0500,637156540900470000,1595782090
12,0,0,0,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,2728,2020-01-26T11:48:39.6110-0500,637156541196110000,1595782120
