Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,Key,Id,Date,DateInTicks,TTL
12,0,0,0,1035,0,096c10aac4214c11a67e10473671a3ca,204,2020-01-18T11:00:31.9380-0500,637149600319380000,1595088032
6,0,0,0,483,0,096c10aac4214c11a67e10473671a3ca,205,2020-01-18T11:01:03.0940-0500,637149600630940000,1595088063
14,0,0,0,483,0,096c10aac4214c11a67e10473671a3ca,206,2020-01-18T11:01:30.7200-0500,637149600907200000,1595088091
59,0,0,69,2277,0,096c10aac4214c11a67e10473671a3ca,207,2020-01-18T11:02:24.6150-0500,637149601446150000,1595088145
2,0,0,138,69,0,096c10aac4214c11a67e10473671a3ca,208,2020-01-18T11:04:06.9330-0500,637149602469330000,1595088247
47,0,0,69,1794,0,096c10aac4214c11a67e10473671a3ca,209,2020-01-18T11:04:26.0040-0500,637149602660040000,1595088266
47,0,0,138,1449,0,096c10aac4214c11a67e10473671a3ca,210,2020-01-18T11:05:36.4820-0500,637149603364820000,1595088336
112,0,0,345,2553,0,096c10aac4214c11a67e10473671a3ca,211,2020-01-18T11:06:54.1770-0500,637149604141770000,1595088414
40,0,0,0,1035,0,096c10aac4214c11a67e10473671a3ca,212,2020-01-18T11:09:21.1230-0500,637149605611230000,1595088561
3,0,0,0,276,0,096c10aac4214c11a67e10473671a3ca,213,2020-01-18T11:10:21.6290-0500,637149606216290000,1595088622
