Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,Key,Id,Date,DateInTicks,TTL
2610,2589,1,57,94365,0,417db1c3f6c5414092021ff2ca769e22,096c10aac4214c11a67e10473671a3ca,1517,2020-03-05T14:31:29.0350-0500,637190334890350000,1599334289
27,13,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,096c10aac4214c11a67e10473671a3ca,1518,2020-03-05T16:23:45.0260-0500,637190402250260000,1599341025
27,15,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,096c10aac4214c11a67e10473671a3ca,1519,2020-03-05T16:25:34.2880-0500,637190403342880000,1599341134
38,24,2,0,0,0,417db1c3f6c5414092021ff2ca769e22,096c10aac4214c11a67e10473671a3ca,1520,2020-03-05T16:32:18.6889-0500,637190407386889000,1599341539
72,61,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,096c10aac4214c11a67e10473671a3ca,1521,2020-03-05T16:32:56.9580-0500,637190407769580000,1599341577
39,4,3,0,13,0,417db1c3f6c5414092021ff2ca769e22,096c10aac4214c11a67e10473671a3ca,1522,2020-03-05T16:35:59.6450-0500,637190409596450000,1599341760
15,0,0,0,2,0,417db1c3f6c5414092021ff2ca769e22,096c10aac4214c11a67e10473671a3ca,1523,2020-03-05T16:37:31.0790-0500,637190410510790000,1599341851
15,0,0,0,1,0,417db1c3f6c5414092021ff2ca769e22,096c10aac4214c11a67e10473671a3ca,1524,2020-03-05T16:38:45.1840-0500,637190411251840000,1599341925
36,34,1,0,10,0,417db1c3f6c5414092021ff2ca769e22,096c10aac4214c11a67e10473671a3ca,1525,2020-03-05T16:39:33.4270-0500,637190411734270000,1599341973
19,5,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,096c10aac4214c11a67e10473671a3ca,1526,2020-03-05T16:53:52.9090-0500,637190420329090000,1599342833
