Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
12,12,1,1,0,0,417db1c3f6c5414092021ff2ca769e22,,0b599185f3b14688a5817d9464f90366,554,2021-01-19T15:03:37.7970-0500,637466834177970000,1626725018
5,5,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,0b599185f3b14688a5817d9464f90366,555,2021-01-19T15:07:17.6220-0500,637466836376220000,1626725238
9,9,1,2,0,0,417db1c3f6c5414092021ff2ca769e22,,0b599185f3b14688a5817d9464f90366,556,2021-01-19T15:07:45.7380-0500,637466836657380000,1626725266
11,8,1,2,0,0,417db1c3f6c5414092021ff2ca769e22,,0b599185f3b14688a5817d9464f90366,557,2021-01-19T15:08:17.5110-0500,637466836975110000,1626725298
5,5,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,0b599185f3b14688a5817d9464f90366,558,2021-01-19T15:08:55.3630-0500,637466837353630000,1626725335
5,4,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,0b599185f3b14688a5817d9464f90366,559,2021-01-19T15:11:31.7210-0500,637466838917210000,1626725492
5,4,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,0b599185f3b14688a5817d9464f90366,560,2021-01-19T15:12:33.8280-0500,637466839538280000,1626725554
5,5,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,0b599185f3b14688a5817d9464f90366,561,2021-01-19T15:13:21.1540-0500,637466840011540000,1626725601
5,5,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,0b599185f3b14688a5817d9464f90366,562,2021-01-19T15:14:42.6070-0500,637466840826070000,1626725683
5,5,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,0b599185f3b14688a5817d9464f90366,563,2021-01-19T15:15:38.4970-0500,637466841384970000,1626725738
5,5,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,0b599185f3b14688a5817d9464f90366,564,2021-01-19T15:21:36.8900-0500,637466844968900000,1626726097
