Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,Key,Id,Date,DateInTicks,TTL
160,98,3,3186,2950,0,139b85b77ec94577864eb7a6ccb61cdf,253,2020-01-17T18:56:52.9280-0500,637149022129280000,1595030213
13,0,0,1248,61,0,139b85b77ec94577864eb7a6ccb61cdf,254,2020-01-17T19:01:42.1890-0500,637149025021890000,1595030502
65,32,10,1439,2527,0,139b85b77ec94577864eb7a6ccb61cdf,255,2020-01-17T19:02:34.6350-0500,637149025546350000,1595030555
15,0,0,123,0,0,139b85b77ec94577864eb7a6ccb61cdf,256,2020-01-17T19:04:16.5540-0500,637149026565540000,1595030657
9,0,0,1230,0,0,139b85b77ec94577864eb7a6ccb61cdf,257,2020-01-17T19:05:28.5840-0500,637149027285840000,1595030729
1,0,0,372,0,0,139b85b77ec94577864eb7a6ccb61cdf,258,2020-01-17T19:08:29.2550-0500,637149029092550000,1595030909
18,0,1,0,3,0,139b85b77ec94577864eb7a6ccb61cdf,259,2020-01-17T19:12:05.4060-0500,637149031254060000,1595031125
5,0,0,0,0,0,139b85b77ec94577864eb7a6ccb61cdf,260,2020-01-17T19:12:48.5340-0500,637149031685340000,1595031169
1,0,0,0,2,0,139b85b77ec94577864eb7a6ccb61cdf,261,2020-01-17T19:24:26.7730-0500,637149038667730000,1595031867
15,0,0,0,1,0,139b85b77ec94577864eb7a6ccb61cdf,262,2020-01-17T19:26:50.2970-0500,637149040102970000,1595032010
