Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,Key,Id,Date,DateInTicks,TTL
15,0,0,4,0,0,417db1c3f6c5414092021ff2ca769e22,18aa24fd3e3b4006aa5ebdd0a7400704,970,2020-03-11T17:54:47.1510-0500,637195640871510000,1599864887
31,0,0,44,0,0,417db1c3f6c5414092021ff2ca769e22,18aa24fd3e3b4006aa5ebdd0a7400704,971,2020-03-11T17:55:24.2930-0500,637195641242930000,1599864924
23,0,0,12,8,0,417db1c3f6c5414092021ff2ca769e22,18aa24fd3e3b4006aa5ebdd0a7400704,972,2020-03-11T17:56:31.8340-0500,637195641918340000,1599864992
23,0,0,16,4,0,417db1c3f6c5414092021ff2ca769e22,18aa24fd3e3b4006aa5ebdd0a7400704,973,2020-03-11T17:57:32.4250-0500,637195642524250000,1599865052
15,0,0,4,0,0,417db1c3f6c5414092021ff2ca769e22,18aa24fd3e3b4006aa5ebdd0a7400704,974,2020-03-11T17:59:44.8620-0500,637195643848620000,1599865185
1,0,0,12,0,0,417db1c3f6c5414092021ff2ca769e22,18aa24fd3e3b4006aa5ebdd0a7400704,975,2020-03-11T18:01:19.5430-0500,637195644795430000,1599865280
9,0,0,20,4,0,417db1c3f6c5414092021ff2ca769e22,18aa24fd3e3b4006aa5ebdd0a7400704,976,2020-03-11T18:02:38.9030-0500,637195645589030000,1599865359
18,6,1,4,0,0,417db1c3f6c5414092021ff2ca769e22,18aa24fd3e3b4006aa5ebdd0a7400704,977,2020-03-11T18:03:05.6310-0500,637195645856310000,1599865386
1,0,0,20,0,0,417db1c3f6c5414092021ff2ca769e22,18aa24fd3e3b4006aa5ebdd0a7400704,978,2020-03-11T18:03:26.5970-0500,637195646065970000,1599865407
15,0,0,4,0,0,417db1c3f6c5414092021ff2ca769e22,18aa24fd3e3b4006aa5ebdd0a7400704,979,2020-03-11T18:03:55.0270-0500,637195646350270000,1599865435
