Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
5,0,0,0,26,0,417db1c3f6c5414092021ff2ca769e22,,18aa24fd3e3b4006aa5ebdd0a7400704,1767,2020-09-19T18:23:35.1470-0500,637361546151470000,1616196215
6,0,0,0,8,0,417db1c3f6c5414092021ff2ca769e22,,18aa24fd3e3b4006aa5ebdd0a7400704,1768,2020-09-19T18:30:11.2560-0500,637361550112560000,1616196611
15,0,0,0,2,0,417db1c3f6c5414092021ff2ca769e22,,18aa24fd3e3b4006aa5ebdd0a7400704,1769,2020-09-19T18:30:37.2780-0500,637361550372780000,1616196637
15,0,0,0,2,0,417db1c3f6c5414092021ff2ca769e22,,18aa24fd3e3b4006aa5ebdd0a7400704,1770,2020-09-19T18:30:54.7590-0500,637361550547590000,1616196655
5,0,0,0,12,0,417db1c3f6c5414092021ff2ca769e22,,18aa24fd3e3b4006aa5ebdd0a7400704,1771,2020-09-19T18:31:33.7250-0500,637361550937250000,1616196694
7,0,0,0,16,0,417db1c3f6c5414092021ff2ca769e22,,18aa24fd3e3b4006aa5ebdd0a7400704,1772,2020-09-19T18:33:22.5940-0500,637361552025940000,1616196803
7,0,0,0,12,0,417db1c3f6c5414092021ff2ca769e22,,18aa24fd3e3b4006aa5ebdd0a7400704,1773,2020-09-19T18:33:58.2010-0500,637361552382010000,1616196838
1,0,0,0,10,0,417db1c3f6c5414092021ff2ca769e22,,18aa24fd3e3b4006aa5ebdd0a7400704,1774,2020-09-19T18:37:02.3590-0500,637361554223590000,1616197022
15,0,0,0,4,0,417db1c3f6c5414092021ff2ca769e22,,18aa24fd3e3b4006aa5ebdd0a7400704,1775,2020-09-19T18:40:36.4410-0500,637361556364410000,1616197236
15,0,0,0,2,0,417db1c3f6c5414092021ff2ca769e22,,18aa24fd3e3b4006aa5ebdd0a7400704,1776,2020-09-19T18:41:45.1370-0500,637361557051370000,1616197305
