Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,Key,Id,Date,DateInTicks,TTL
87,0,0,630,960,0,1a4564e4e05d452996962259bb7cbf90,513,2020-01-09T17:58:04.5060-0500,637142074845060000,1594335485
2,0,0,325,0,0,1a4564e4e05d452996962259bb7cbf90,514,2020-01-09T17:59:48.9070-0500,637142075889070000,1594335589
33,0,0,0,17,0,1a4564e4e05d452996962259bb7cbf90,515,2020-01-09T18:09:33.9430-0500,637142081739430000,1594336174
15,0,0,0,2,0,1a4564e4e05d452996962259bb7cbf90,516,2020-01-09T18:11:33.4410-0500,637142082934410000,1594336293
5,0,0,0,6,0,1a4564e4e05d452996962259bb7cbf90,517,2020-01-09T18:12:26.5180-0500,637142083465180000,1594336347
25,7,1,0,8,0,1a4564e4e05d452996962259bb7cbf90,518,2020-01-09T18:17:33.4160-0500,637142086534160000,1594336653
15,0,0,0,1,0,1a4564e4e05d452996962259bb7cbf90,519,2020-01-09T18:20:58.6780-0500,637142088586780000,1594336859
15,0,0,0,1,0,1a4564e4e05d452996962259bb7cbf90,520,2020-01-09T18:21:15.0460-0500,637142088750460000,1594336875
13,0,0,0,4,0,1a4564e4e05d452996962259bb7cbf90,521,2020-01-09T18:21:32.1640-0500,637142088921640000,1594336892
18,0,0,0,8,0,1a4564e4e05d452996962259bb7cbf90,522,2020-01-09T18:23:01.5370-0500,637142089815370000,1594336982
