Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,Key,Id,Date,DateInTicks,TTL
90,0,0,160,1312,0,417db1c3f6c5414092021ff2ca769e22,1a4564e4e05d452996962259bb7cbf90,2058,2020-02-14T18:24:07.5060-0500,637173194475060000,1597447448
32,0,0,132,99,0,417db1c3f6c5414092021ff2ca769e22,1a4564e4e05d452996962259bb7cbf90,2059,2020-02-14T18:25:55.5590-0500,637173195555590000,1597447556
1,0,0,68,0,0,417db1c3f6c5414092021ff2ca769e22,1a4564e4e05d452996962259bb7cbf90,2060,2020-02-14T18:26:45.2450-0500,637173196052450000,1597447605
15,0,0,36,0,0,417db1c3f6c5414092021ff2ca769e22,1a4564e4e05d452996962259bb7cbf90,2061,2020-02-14T18:28:12.7590-0500,637173196927590000,1597447693
3,0,0,108,0,0,417db1c3f6c5414092021ff2ca769e22,1a4564e4e05d452996962259bb7cbf90,2062,2020-02-14T18:30:46.1630-0500,637173198461630000,1597447846
3,0,0,360,0,0,417db1c3f6c5414092021ff2ca769e22,1a4564e4e05d452996962259bb7cbf90,2063,2020-02-14T18:31:22.4370-0500,637173198824370000,1597447882
33,0,0,108,216,0,417db1c3f6c5414092021ff2ca769e22,1a4564e4e05d452996962259bb7cbf90,2064,2020-02-14T18:39:38.6110-0500,637173203786110000,1597448379
17,0,0,0,222,0,417db1c3f6c5414092021ff2ca769e22,1a4564e4e05d452996962259bb7cbf90,2065,2020-02-14T18:40:35.8940-0500,637173204358940000,1597448436
5,0,0,117,39,0,417db1c3f6c5414092021ff2ca769e22,1a4564e4e05d452996962259bb7cbf90,2066,2020-02-14T18:41:38.0200-0500,637173204980200000,1597448498
18,0,0,120,80,0,417db1c3f6c5414092021ff2ca769e22,1a4564e4e05d452996962259bb7cbf90,2067,2020-02-14T18:42:38.8510-0500,637173205588510000,1597448559
