Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,Key,Id,Date,DateInTicks,TTL
15,0,0,0,1,0,1e8656f6b89c4f19bd47cb8bef23b4fa,3023,2019-12-12T12:46:53.8710-0500,637117696138710000,1591984014
2,0,0,0,2,0,1e8656f6b89c4f19bd47cb8bef23b4fa,3024,2019-12-12T12:49:21.4800-0500,637117697614800000,1591984161
93,0,0,0,104,0,1e8656f6b89c4f19bd47cb8bef23b4fa,3025,2019-12-12T12:49:42.6220-0500,637117697826220000,1591984183
13,0,0,0,4,0,1e8656f6b89c4f19bd47cb8bef23b4fa,3026,2019-12-12T12:51:49.8870-0500,637117699098870000,1591984310
15,0,0,0,1,0,1e8656f6b89c4f19bd47cb8bef23b4fa,3027,2019-12-12T12:52:29.2900-0500,637117699492900000,1591984349
30,0,0,0,12,0,1e8656f6b89c4f19bd47cb8bef23b4fa,3028,2019-12-12T12:52:52.2839-0500,637117699722839000,1591984372
178,0,0,0,130,0,1e8656f6b89c4f19bd47cb8bef23b4fa,3029,2019-12-12T12:53:40.4570-0500,637117700204570000,1591984420
15,0,0,0,1,0,1e8656f6b89c4f19bd47cb8bef23b4fa,3030,2019-12-12T12:57:12.0480-0500,637117702320480000,1591984632
35,0,0,0,16,0,1e8656f6b89c4f19bd47cb8bef23b4fa,3031,2019-12-12T12:58:29.7660-0500,637117703097660000,1591984710
74,0,0,0,29,0,1e8656f6b89c4f19bd47cb8bef23b4fa,3032,2019-12-12T12:59:31.8260-0500,637117703718260000,1591984772
