Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,Key,Id,Date,DateInTicks,TTL
7,0,0,0,3,0,1e9bf02e0c0c48438f1019717734232f,533,2020-01-19T13:43:03.3920-0500,637150561833920000,1595184183
1,0,0,0,2,0,1e9bf02e0c0c48438f1019717734232f,534,2020-01-19T13:44:20.0200-0500,637150562600200000,1595184260
7,0,0,0,2,0,1e9bf02e0c0c48438f1019717734232f,535,2020-01-19T13:46:35.2170-0500,637150563952170000,1595184395
15,0,1,0,9,0,1e9bf02e0c0c48438f1019717734232f,536,2020-01-19T13:46:57.8550-0500,637150564178550000,1595184418
2,0,0,0,7,0,1e9bf02e0c0c48438f1019717734232f,537,2020-01-19T13:47:28.0100-0500,637150564480100000,1595184448
1,0,0,0,3,0,1e9bf02e0c0c48438f1019717734232f,538,2020-01-19T13:48:31.2660-0500,637150565112660000,1595184511
15,0,0,0,1,0,1e9bf02e0c0c48438f1019717734232f,539,2020-01-19T13:49:04.1600-0500,637150565441600000,1595184544
9,0,0,0,6,0,1e9bf02e0c0c48438f1019717734232f,540,2020-01-19T13:54:07.4660-0500,637150568474660000,1595184847
15,0,0,0,1,0,1e9bf02e0c0c48438f1019717734232f,541,2020-01-19T13:55:08.6390-0500,637150569086390000,1595184909
15,0,0,0,3,0,1e9bf02e0c0c48438f1019717734232f,542,2020-01-19T13:56:48.0440-0500,637150570080440000,1595185008
