Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
1531,1238,34,0,0,0,417db1c3f6c5414092021ff2ca769e22,,1e9bf02e0c0c48438f1019717734232f,3214,2020-12-10T10:33:01.9500-0500,637432111819500000,1623339182
475,411,8,0,0,0,417db1c3f6c5414092021ff2ca769e22,,1e9bf02e0c0c48438f1019717734232f,3215,2020-12-10T10:59:34.3340-0500,637432127743340000,1623340774
216,175,7,0,0,0,417db1c3f6c5414092021ff2ca769e22,,1e9bf02e0c0c48438f1019717734232f,3216,2020-12-10T11:10:14.2240-0500,637432134142240000,1623341414
2115,1728,49,0,0,0,417db1c3f6c5414092021ff2ca769e22,,1e9bf02e0c0c48438f1019717734232f,3217,2020-12-10T11:15:47.0770-0500,637432137470770000,1623341747
1666,1322,32,0,0,0,417db1c3f6c5414092021ff2ca769e22,,1e9bf02e0c0c48438f1019717734232f,3218,2020-12-10T11:51:58.0580-0500,637432159180580000,1623343918
16,2,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,1e9bf02e0c0c48438f1019717734232f,3219,2020-12-10T12:20:03.1590-0500,637432176031590000,1623345603
1113,980,21,0,0,0,417db1c3f6c5414092021ff2ca769e22,,1e9bf02e0c0c48438f1019717734232f,3220,2020-12-10T12:35:59.9280-0500,637432185599280000,1623346560
215,191,6,0,0,0,417db1c3f6c5414092021ff2ca769e22,,1e9bf02e0c0c48438f1019717734232f,3221,2020-12-10T12:55:06.2690-0500,637432197062690000,1623347706
778,584,22,0,0,0,417db1c3f6c5414092021ff2ca769e22,,1e9bf02e0c0c48438f1019717734232f,3222,2020-12-10T12:59:07.3980-0500,637432199473980000,1623347947
409,315,11,0,0,0,417db1c3f6c5414092021ff2ca769e22,,1e9bf02e0c0c48438f1019717734232f,3223,2020-12-10T13:14:08.8990-0500,637432208488990000,1623348849
