Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,Key,Id,Date,DateInTicks,TTL
2,0,0,966,0,0,417db1c3f6c5414092021ff2ca769e22,2771d4adc72b40348aa70131a605dd15,1626,2020-06-29T15:34:30.4900-0500,637290596704900000,1609274070
31,17,2,483,0,0,417db1c3f6c5414092021ff2ca769e22,2771d4adc72b40348aa70131a605dd15,1627,2020-06-29T15:36:40.1960-0500,637290598001960000,1609274200
1,0,0,322,0,0,417db1c3f6c5414092021ff2ca769e22,2771d4adc72b40348aa70131a605dd15,1628,2020-06-29T15:37:42.9850-0500,637290598629850000,1609274263
15,0,0,161,0,0,417db1c3f6c5414092021ff2ca769e22,2771d4adc72b40348aa70131a605dd15,1629,2020-06-29T15:40:04.9780-0500,637290600049780000,1609274405
11,10,1,164,164,0,417db1c3f6c5414092021ff2ca769e22,2771d4adc72b40348aa70131a605dd15,1630,2020-06-29T15:41:57.9600-0500,637290601179600000,1609274518
15,0,0,165,0,0,417db1c3f6c5414092021ff2ca769e22,2771d4adc72b40348aa70131a605dd15,1631,2020-06-29T15:43:04.1160-0500,637290601841160000,1609274584
88,87,2,330,1485,0,417db1c3f6c5414092021ff2ca769e22,2771d4adc72b40348aa70131a605dd15,1632,2020-06-29T15:43:24.5450-0500,637290602045450000,1609274605
1,0,0,332,0,0,417db1c3f6c5414092021ff2ca769e22,2771d4adc72b40348aa70131a605dd15,1633,2020-06-29T15:48:54.2970-0500,637290605342970000,1609274934
15,0,0,332,0,0,417db1c3f6c5414092021ff2ca769e22,2771d4adc72b40348aa70131a605dd15,1634,2020-06-29T15:51:08.8470-0500,637290606688470000,1609275069
15,0,0,166,0,0,417db1c3f6c5414092021ff2ca769e22,2771d4adc72b40348aa70131a605dd15,1635,2020-06-29T15:51:33.0030-0500,637290606930030000,1609275093
