Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
2,0,0,12,0,0,417db1c3f6c5414092021ff2ca769e22,,2771d4adc72b40348aa70131a605dd15,1950,2020-07-05T14:07:32.7760-0500,637295728527760000,1609873653
85,50,2,21,152,0,417db1c3f6c5414092021ff2ca769e22,,2771d4adc72b40348aa70131a605dd15,1951,2020-07-05T14:07:55.4160-0500,637295728754160000,1609873675
2,0,0,0,28,0,417db1c3f6c5414092021ff2ca769e22,,2771d4adc72b40348aa70131a605dd15,1952,2020-07-05T14:10:00.2490-0500,637295730002490000,1609873800
15,0,0,8,0,0,417db1c3f6c5414092021ff2ca769e22,,2771d4adc72b40348aa70131a605dd15,1953,2020-07-05T14:12:54.0690-0500,637295731740690000,1609873974
15,0,0,0,16,0,417db1c3f6c5414092021ff2ca769e22,,2771d4adc72b40348aa70131a605dd15,1954,2020-07-05T14:13:29.1470-0500,637295732091470000,1609874009
8,0,0,8,72,0,417db1c3f6c5414092021ff2ca769e22,,2771d4adc72b40348aa70131a605dd15,1955,2020-07-05T14:15:02.8230-0500,637295733028230000,1609874103
4,0,0,0,72,0,417db1c3f6c5414092021ff2ca769e22,,2771d4adc72b40348aa70131a605dd15,1956,2020-07-05T14:15:35.0670-0500,637295733350670000,1609874135
11,0,0,10,150,0,417db1c3f6c5414092021ff2ca769e22,,2771d4adc72b40348aa70131a605dd15,1957,2020-07-05T14:16:43.8570-0500,637295734038570000,1609874204
15,0,0,33,0,0,417db1c3f6c5414092021ff2ca769e22,,2771d4adc72b40348aa70131a605dd15,1958,2020-07-05T14:17:53.7370-0500,637295734737370000,1609874274
14,0,0,33,55,0,417db1c3f6c5414092021ff2ca769e22,,2771d4adc72b40348aa70131a605dd15,1959,2020-07-05T14:18:25.2110-0500,637295735052110000,1609874305
