Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
62,0,0,0,943,0,417db1c3f6c5414092021ff2ca769e22,,2a8871b1fc3b4bb0a350263e6828086d,1496,2020-09-11T06:23:52.4360-0500,637354202324360000,1615461832
15,0,0,0,23,0,417db1c3f6c5414092021ff2ca769e22,,2a8871b1fc3b4bb0a350263e6828086d,1497,2020-09-11T06:25:21.1560-0500,637354203211560000,1615461921
15,0,0,0,23,0,417db1c3f6c5414092021ff2ca769e22,,2a8871b1fc3b4bb0a350263e6828086d,1498,2020-09-11T06:25:53.1170-0500,637354203531170000,1615461953
44,0,0,0,506,0,417db1c3f6c5414092021ff2ca769e22,,2a8871b1fc3b4bb0a350263e6828086d,1499,2020-09-11T06:26:32.7670-0500,637354203927670000,1615461993
109,0,0,0,805,0,417db1c3f6c5414092021ff2ca769e22,,2a8871b1fc3b4bb0a350263e6828086d,1500,2020-09-11T06:27:51.0010-0500,637354204710010000,1615462071
6,0,0,0,92,0,417db1c3f6c5414092021ff2ca769e22,,2a8871b1fc3b4bb0a350263e6828086d,1501,2020-09-11T06:29:59.3790-0500,637354205993790000,1615462199
28,0,0,0,161,0,417db1c3f6c5414092021ff2ca769e22,,2a8871b1fc3b4bb0a350263e6828086d,1502,2020-09-11T06:30:57.4440-0500,637354206574440000,1615462257
90,0,0,0,529,0,417db1c3f6c5414092021ff2ca769e22,,2a8871b1fc3b4bb0a350263e6828086d,1503,2020-09-11T06:33:11.4750-0500,637354207914750000,1615462391
7,0,0,0,92,0,417db1c3f6c5414092021ff2ca769e22,,2a8871b1fc3b4bb0a350263e6828086d,1504,2020-09-11T06:34:59.9070-0500,637354208999070000,1615462500
58,0,0,0,437,0,417db1c3f6c5414092021ff2ca769e22,,2a8871b1fc3b4bb0a350263e6828086d,1505,2020-09-11T06:35:27.6200-0500,637354209276200000,1615462528
