Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
22,0,0,0,34,0,417db1c3f6c5414092021ff2ca769e22,,2a972757e72e42418a74789b4f56c180,1228,2020-12-19T13:24:07.2280-0500,637439990472280000,1624127047
28,0,0,0,48,0,417db1c3f6c5414092021ff2ca769e22,,2a972757e72e42418a74789b4f56c180,1229,2020-12-19T13:25:48.5160-0500,637439991485160000,1624127149
1,0,0,0,4,0,417db1c3f6c5414092021ff2ca769e22,,2a972757e72e42418a74789b4f56c180,1230,2020-12-19T13:26:45.5460-0500,637439992055460000,1624127206
12,0,0,0,8,0,417db1c3f6c5414092021ff2ca769e22,,2a972757e72e42418a74789b4f56c180,1231,2020-12-19T13:27:05.2940-0500,637439992252940000,1624127225
37,0,0,0,36,0,417db1c3f6c5414092021ff2ca769e22,,2a972757e72e42418a74789b4f56c180,1232,2020-12-19T13:27:39.3730-0500,637439992593730000,1624127259
69,0,0,0,50,0,417db1c3f6c5414092021ff2ca769e22,,2a972757e72e42418a74789b4f56c180,1233,2020-12-19T13:28:44.0690-0500,637439993240690000,1624127324
8,0,0,0,16,0,417db1c3f6c5414092021ff2ca769e22,,2a972757e72e42418a74789b4f56c180,1234,2020-12-19T13:31:10.1739-0500,637439994701739000,1624127470
16,0,0,0,16,0,417db1c3f6c5414092021ff2ca769e22,,2a972757e72e42418a74789b4f56c180,1235,2020-12-19T13:32:22.4060-0500,637439995424060000,1624127542
15,0,0,0,2,0,417db1c3f6c5414092021ff2ca769e22,,2a972757e72e42418a74789b4f56c180,1236,2020-12-19T13:33:39.1370-0500,637439996191370000,1624127619
34,0,0,0,36,0,417db1c3f6c5414092021ff2ca769e22,,2a972757e72e42418a74789b4f56c180,1237,2020-12-19T13:34:05.7150-0500,637439996457150000,1624127646
