Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,Key,Id,Date,DateInTicks,TTL
2,1,2,0,0,0,2c241909eb624792ad0226844a899c12,1088,2020-01-25T13:26:38.6710-0500,637155735986710000,1595701599
2,0,0,68,0,0,2c241909eb624792ad0226844a899c12,1089,2020-01-25T13:30:16.5450-0500,637155738165450000,1595701817
16,6,1,102,34,0,2c241909eb624792ad0226844a899c12,1090,2020-01-25T13:35:11.2630-0500,637155741112630000,1595702111
29,17,1,0,0,0,2c241909eb624792ad0226844a899c12,1091,2020-01-25T13:35:56.2770-0500,637155741562770000,1595702156
32,20,1,0,0,0,2c241909eb624792ad0226844a899c12,1092,2020-01-25T13:36:37.7690-0500,637155741977690000,1595702198
21,7,1,0,0,0,2c241909eb624792ad0226844a899c12,1093,2020-01-25T13:37:27.3680-0500,637155742473680000,1595702247
55,40,2,0,117,0,2c241909eb624792ad0226844a899c12,1094,2020-01-25T13:39:20.5600-0500,637155743605600000,1595702361
9,0,0,80,0,0,2c241909eb624792ad0226844a899c12,1095,2020-01-25T13:40:17.1030-0500,637155744171030000,1595702417
15,0,0,80,0,0,2c241909eb624792ad0226844a899c12,1096,2020-01-25T13:40:48.5610-0500,637155744485610000,1595702449
11,1,1,0,672,0,2c241909eb624792ad0226844a899c12,1097,2020-01-25T13:43:39.1540-0500,637155746191540000,1595702619
