Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,Key,Id,Date,DateInTicks,TTL
15,0,0,50,0,0,417db1c3f6c5414092021ff2ca769e22,2c241909eb624792ad0226844a899c12,2759,2020-02-15T12:42:51.7340-0500,637173853717340000,1597513372
15,0,0,50,0,0,417db1c3f6c5414092021ff2ca769e22,2c241909eb624792ad0226844a899c12,2760,2020-02-15T12:44:45.8250-0500,637173854858250000,1597513486
15,0,0,50,0,0,417db1c3f6c5414092021ff2ca769e22,2c241909eb624792ad0226844a899c12,2761,2020-02-15T12:45:19.1260-0500,637173855191260000,1597513519
15,0,0,150,0,0,417db1c3f6c5414092021ff2ca769e22,2c241909eb624792ad0226844a899c12,2762,2020-02-15T12:45:36.8280-0500,637173855368280000,1597513537
25,12,1,550,0,0,417db1c3f6c5414092021ff2ca769e22,2c241909eb624792ad0226844a899c12,2763,2020-02-15T12:48:44.3970-0500,637173857243970000,1597513724
1,0,0,100,0,0,417db1c3f6c5414092021ff2ca769e22,2c241909eb624792ad0226844a899c12,2764,2020-02-15T12:49:47.5960-0500,637173857875960000,1597513788
44,38,2,100,150,0,417db1c3f6c5414092021ff2ca769e22,2c241909eb624792ad0226844a899c12,2765,2020-02-15T12:50:12.1350-0500,637173858121350000,1597513812
33,28,2,200,50,0,417db1c3f6c5414092021ff2ca769e22,2c241909eb624792ad0226844a899c12,2766,2020-02-15T12:52:40.5860-0500,637173859605860000,1597513961
67,55,1,204,918,0,417db1c3f6c5414092021ff2ca769e22,2c241909eb624792ad0226844a899c12,2767,2020-02-15T12:53:36.3060-0500,637173860163060000,1597514016
9,0,0,312,0,0,417db1c3f6c5414092021ff2ca769e22,2c241909eb624792ad0226844a899c12,2768,2020-02-15T12:55:20.5070-0500,637173861205070000,1597514121
