Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
1,0,0,100,0,0,417db1c3f6c5414092021ff2ca769e22,,2c241909eb624792ad0226844a899c12,5592,2020-07-09T13:47:43.5480-0500,637299172635480000,1610218064
15,0,1,0,6,0,417db1c3f6c5414092021ff2ca769e22,,2c241909eb624792ad0226844a899c12,5593,2020-07-09T14:26:16.6110-0500,637299195766110000,1610220377
6,0,0,6,0,0,417db1c3f6c5414092021ff2ca769e22,,2c241909eb624792ad0226844a899c12,5594,2020-07-09T14:26:52.8370-0500,637299196128370000,1610220413
4,0,0,9,0,0,417db1c3f6c5414092021ff2ca769e22,,2c241909eb624792ad0226844a899c12,5595,2020-07-09T14:31:45.3330-0500,637299199053330000,1610220705
1,0,0,6,0,0,417db1c3f6c5414092021ff2ca769e22,,2c241909eb624792ad0226844a899c12,5596,2020-07-09T14:32:16.3740-0500,637299199363740000,1610220736
15,0,0,6,0,0,417db1c3f6c5414092021ff2ca769e22,,2c241909eb624792ad0226844a899c12,5597,2020-07-09T14:34:47.9280-0500,637299200879280000,1610220888
15,0,0,3,0,0,417db1c3f6c5414092021ff2ca769e22,,2c241909eb624792ad0226844a899c12,5598,2020-07-09T14:35:15.0250-0500,637299201150250000,1610220915
26,0,0,12,27,0,417db1c3f6c5414092021ff2ca769e22,,2c241909eb624792ad0226844a899c12,5599,2020-07-09T14:38:09.5330-0500,637299202895330000,1610221090
24,0,1,21,0,0,417db1c3f6c5414092021ff2ca769e22,,2c241909eb624792ad0226844a899c12,5600,2020-07-09T14:38:50.9030-0500,637299203309030000,1610221131
10,0,0,0,0,0,417db1c3f6c5414092021ff2ca769e22,,2c241909eb624792ad0226844a899c12,5601,2020-07-09T14:39:35.2210-0500,637299203752210000,1610221175
