Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
36,22,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,2d8591c8a73840d692d1aaceb8f7e016,4257,2020-07-28T17:34:02.6040-0400,637315688426040000,1611869643
25,11,1,0,28,0,417db1c3f6c5414092021ff2ca769e22,,2d8591c8a73840d692d1aaceb8f7e016,4258,2020-07-28T17:35:19.1680-0400,637315689191680000,1611869719
34,22,5,29,0,0,417db1c3f6c5414092021ff2ca769e22,,2d8591c8a73840d692d1aaceb8f7e016,4259,2020-07-28T17:36:09.8620-0400,637315689698620000,1611869770
22,9,3,0,64,0,417db1c3f6c5414092021ff2ca769e22,,2d8591c8a73840d692d1aaceb8f7e016,4260,2020-07-28T17:39:27.3240-0400,637315691673240000,1611869967
57,43,2,0,32,0,417db1c3f6c5414092021ff2ca769e22,,2d8591c8a73840d692d1aaceb8f7e016,4261,2020-07-28T17:44:09.3220-0400,637315694493220000,1611870249
7,6,2,0,64,0,417db1c3f6c5414092021ff2ca769e22,,2d8591c8a73840d692d1aaceb8f7e016,4262,2020-07-28T17:45:27.2700-0400,637315695272700000,1611870327
23,9,1,0,64,0,417db1c3f6c5414092021ff2ca769e22,,2d8591c8a73840d692d1aaceb8f7e016,4263,2020-07-28T17:46:21.9450-0400,637315695819450000,1611870382
8,0,1,0,32,0,417db1c3f6c5414092021ff2ca769e22,,2d8591c8a73840d692d1aaceb8f7e016,4264,2020-07-28T17:47:02.4780-0400,637315696224780000,1611870422
15,0,0,0,64,0,417db1c3f6c5414092021ff2ca769e22,,2d8591c8a73840d692d1aaceb8f7e016,4265,2020-07-28T17:49:28.3990-0400,637315697683990000,1611870568
16,2,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,2d8591c8a73840d692d1aaceb8f7e016,4266,2020-07-28T17:50:28.9230-0400,637315698289230000,1611870629
