Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
5,0,0,12,12,0,417db1c3f6c5414092021ff2ca769e22,,2e0d78f5d22f4a3facf4193c4f1487dd,283,2020-09-09T11:44:39.8400-0500,637352666798400000,1615308280
15,0,0,4,0,0,417db1c3f6c5414092021ff2ca769e22,,2e0d78f5d22f4a3facf4193c4f1487dd,284,2020-09-09T11:45:02.0850-0500,637352667020850000,1615308302
15,0,0,4,0,0,417db1c3f6c5414092021ff2ca769e22,,2e0d78f5d22f4a3facf4193c4f1487dd,285,2020-09-09T11:45:17.8720-0500,637352667178720000,1615308318
21,0,0,24,4,0,417db1c3f6c5414092021ff2ca769e22,,2e0d78f5d22f4a3facf4193c4f1487dd,286,2020-09-09T11:45:39.9970-0500,637352667399970000,1615308340
16,3,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,2e0d78f5d22f4a3facf4193c4f1487dd,287,2020-09-09T11:46:36.8350-0500,637352667968350000,1615308397
8,5,1,4,0,0,417db1c3f6c5414092021ff2ca769e22,,2e0d78f5d22f4a3facf4193c4f1487dd,288,2020-09-09T11:47:18.3580-0500,637352668383580000,1615308438
15,0,0,4,0,0,417db1c3f6c5414092021ff2ca769e22,,2e0d78f5d22f4a3facf4193c4f1487dd,289,2020-09-09T11:48:59.8129-0500,637352669398129000,1615308540
15,0,0,4,0,0,417db1c3f6c5414092021ff2ca769e22,,2e0d78f5d22f4a3facf4193c4f1487dd,290,2020-09-09T11:51:27.3820-0500,637352670873820000,1615308687
7,1,6,12,0,0,417db1c3f6c5414092021ff2ca769e22,,2e0d78f5d22f4a3facf4193c4f1487dd,291,2020-09-09T11:53:48.4610-0500,637352672284610000,1615308828
17,2,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,2e0d78f5d22f4a3facf4193c4f1487dd,292,2020-09-09T11:54:53.2150-0500,637352672932150000,1615308893
