Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
7,4,1,4,0,0,417db1c3f6c5414092021ff2ca769e22,,2fcb06120c8a47c49a45d7295aab342d,4,2020-08-26T15:59:52.8980-0500,637340723928980000,1614373193
6,0,0,8,0,0,417db1c3f6c5414092021ff2ca769e22,,2fcb06120c8a47c49a45d7295aab342d,5,2020-08-26T16:00:23.6520-0500,637340724236520000,1614373224
16,2,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,2fcb06120c8a47c49a45d7295aab342d,6,2020-08-26T16:00:45.6480-0500,637340724456480000,1614373246
10,5,1,0,20,0,417db1c3f6c5414092021ff2ca769e22,,2fcb06120c8a47c49a45d7295aab342d,7,2020-08-26T16:01:32.2190-0500,637340724922190000,1614373292
32,19,2,10,70,0,417db1c3f6c5414092021ff2ca769e22,,2fcb06120c8a47c49a45d7295aab342d,8,2020-08-26T16:01:59.9810-0500,637340725199810000,1614373320
19,2,1,72,0,0,417db1c3f6c5414092021ff2ca769e22,,2fcb06120c8a47c49a45d7295aab342d,9,2020-08-26T16:03:26.9280-0500,637340726069280000,1614373407
15,0,0,6,0,0,417db1c3f6c5414092021ff2ca769e22,,2fcb06120c8a47c49a45d7295aab342d,10,2020-08-26T16:04:13.5629-0500,637340726535629000,1614373454
21,9,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,2fcb06120c8a47c49a45d7295aab342d,11,2020-08-26T16:04:55.7610-0500,637340726957610000,1614373496
15,0,0,0,6,0,417db1c3f6c5414092021ff2ca769e22,,2fcb06120c8a47c49a45d7295aab342d,12,2020-08-26T16:05:27.5020-0500,637340727275020000,1614373528
15,0,0,6,0,0,417db1c3f6c5414092021ff2ca769e22,,2fcb06120c8a47c49a45d7295aab342d,13,2020-08-26T16:12:41.4970-0500,637340731614970000,1614373961
