Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,Key,Id,Date,DateInTicks,TTL
29,25,2,0,0,0,318c42f457ab4fd291123fd53c06f8fc,1754,2019-12-12T16:13:54.2600-0500,637117820342600000,1591996434
18,4,1,0,0,0,318c42f457ab4fd291123fd53c06f8fc,1755,2019-12-12T16:15:21.4040-0500,637117821214040000,1591996521
35,22,1,0,0,0,318c42f457ab4fd291123fd53c06f8fc,1756,2019-12-12T16:16:56.1110-0500,637117822161110000,1591996616
22,0,0,94,752,0,318c42f457ab4fd291123fd53c06f8fc,1757,2019-12-12T16:18:00.6929-0500,637117822806929000,1591996681
12,0,0,192,0,0,318c42f457ab4fd291123fd53c06f8fc,1758,2019-12-12T16:18:43.2660-0500,637117823232660000,1591996723
27,0,0,240,384,0,318c42f457ab4fd291123fd53c06f8fc,1759,2019-12-12T16:19:14.2310-0500,637117823542310000,1591996754
5,3,1,49,0,0,318c42f457ab4fd291123fd53c06f8fc,1760,2019-12-12T16:22:15.4400-0500,637117825354400000,1591996935
2,0,0,147,0,0,318c42f457ab4fd291123fd53c06f8fc,1761,2019-12-12T16:22:56.2420-0500,637117825762420000,1591996976
15,0,0,49,0,0,318c42f457ab4fd291123fd53c06f8fc,1762,2019-12-12T16:24:50.6330-0500,637117826906330000,1591997091
41,8,1,245,441,0,318c42f457ab4fd291123fd53c06f8fc,1763,2019-12-12T16:31:55.7810-0500,637117831157810000,1591997516
