Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
19,0,0,360,0,0,417db1c3f6c5414092021ff2ca769e22,,3196ec1df9384ad08a00abcd1bc01a97,652,2020-11-02T13:21:25.2990-0500,637399380852990000,1619979685
50,37,1,183,51,0,417db1c3f6c5414092021ff2ca769e22,,3196ec1df9384ad08a00abcd1bc01a97,653,2020-11-02T13:23:03.0250-0500,637399381830250000,1619979783
2,0,0,0,36,0,417db1c3f6c5414092021ff2ca769e22,,3196ec1df9384ad08a00abcd1bc01a97,654,2020-11-02T13:24:08.1250-0500,637399382481250000,1619979848
2,0,0,38,0,0,417db1c3f6c5414092021ff2ca769e22,,3196ec1df9384ad08a00abcd1bc01a97,655,2020-11-02T13:28:09.1850-0500,637399384891850000,1619980089
48,25,2,76,342,0,417db1c3f6c5414092021ff2ca769e22,,3196ec1df9384ad08a00abcd1bc01a97,656,2020-11-02T13:28:32.6050-0500,637399385126050000,1619980113
15,0,0,20,0,0,417db1c3f6c5414092021ff2ca769e22,,3196ec1df9384ad08a00abcd1bc01a97,657,2020-11-02T13:29:51.5030-0500,637399385915030000,1619980192
15,0,0,20,0,0,417db1c3f6c5414092021ff2ca769e22,,3196ec1df9384ad08a00abcd1bc01a97,658,2020-11-02T13:30:10.2020-0500,637399386102020000,1619980210
4,0,0,60,0,0,417db1c3f6c5414092021ff2ca769e22,,3196ec1df9384ad08a00abcd1bc01a97,659,2020-11-02T13:30:26.4640-0500,637399386264640000,1619980226
15,0,0,20,0,0,417db1c3f6c5414092021ff2ca769e22,,3196ec1df9384ad08a00abcd1bc01a97,660,2020-11-02T13:31:34.6870-0500,637399386946870000,1619980295
15,0,0,20,0,0,417db1c3f6c5414092021ff2ca769e22,,3196ec1df9384ad08a00abcd1bc01a97,661,2020-11-02T13:34:02.3100-0500,637399388423100000,1619980442
