Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
15,15,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3c00ba4764ae4a4da4fe882f59ab23ba,1068,2021-01-25T16:12:33.3740-0500,637472059533740000,1627247553
7,7,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3c00ba4764ae4a4da4fe882f59ab23ba,1069,2021-01-25T16:13:49.1930-0500,637472060291930000,1627247629
38,25,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3c00ba4764ae4a4da4fe882f59ab23ba,1070,2021-01-25T16:14:16.0620-0500,637472060560620000,1627247656
5,4,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3c00ba4764ae4a4da4fe882f59ab23ba,1071,2021-01-25T16:15:42.4710-0500,637472061424710000,1627247742
5,5,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3c00ba4764ae4a4da4fe882f59ab23ba,1072,2021-01-25T16:21:16.8750-0500,637472064768750000,1627248077
12,10,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3c00ba4764ae4a4da4fe882f59ab23ba,1073,2021-01-25T16:22:02.5800-0500,637472065225800000,1627248123
5,4,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3c00ba4764ae4a4da4fe882f59ab23ba,1074,2021-01-25T16:22:47.5320-0500,637472065675320000,1627248168
5,5,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3c00ba4764ae4a4da4fe882f59ab23ba,1075,2021-01-25T16:23:11.0140-0500,637472065910140000,1627248191
5,5,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3c00ba4764ae4a4da4fe882f59ab23ba,1076,2021-01-25T16:23:46.5500-0500,637472066265500000,1627248227
6,6,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3c00ba4764ae4a4da4fe882f59ab23ba,1077,2021-01-25T16:27:30.9470-0500,637472068509470000,1627248451
