Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
4,0,0,36,0,0,417db1c3f6c5414092021ff2ca769e22,,3deadebd599248bba29641f4a89fabb4,2067,2021-01-14T12:15:44.7710-0500,637462413447710000,1626282945
15,0,0,7,0,0,417db1c3f6c5414092021ff2ca769e22,,3deadebd599248bba29641f4a89fabb4,2068,2021-01-14T12:16:16.6030-0500,637462413766030000,1626282977
7,0,0,8,16,0,417db1c3f6c5414092021ff2ca769e22,,3deadebd599248bba29641f4a89fabb4,2069,2021-01-14T12:16:35.5910-0500,637462413955910000,1626282996
3,0,0,9,9,0,417db1c3f6c5414092021ff2ca769e22,,3deadebd599248bba29641f4a89fabb4,2070,2021-01-14T12:17:43.8870-0500,637462414638870000,1626283064
15,0,0,0,10,0,417db1c3f6c5414092021ff2ca769e22,,3deadebd599248bba29641f4a89fabb4,2071,2021-01-14T12:18:23.1230-0500,637462415031230000,1626283103
44,0,0,0,220,0,417db1c3f6c5414092021ff2ca769e22,,3deadebd599248bba29641f4a89fabb4,2072,2021-01-14T12:18:38.8800-0500,637462415188800000,1626283119
21,0,0,22,77,0,417db1c3f6c5414092021ff2ca769e22,,3deadebd599248bba29641f4a89fabb4,2073,2021-01-14T12:19:43.4860-0500,637462415834860000,1626283183
55,0,0,0,385,0,417db1c3f6c5414092021ff2ca769e22,,3deadebd599248bba29641f4a89fabb4,2074,2021-01-14T12:20:21.4310-0500,637462416214310000,1626283221
15,0,0,0,30,0,417db1c3f6c5414092021ff2ca769e22,,3deadebd599248bba29641f4a89fabb4,2075,2021-01-14T12:22:06.4000-0500,637462417264000000,1626283326
103,0,0,0,817,0,417db1c3f6c5414092021ff2ca769e22,,3deadebd599248bba29641f4a89fabb4,2076,2021-01-14T12:24:08.5340-0500,637462418485340000,1626283449
