Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
0,0,0,2,0,0,417db1c3f6c5414092021ff2ca769e22,,3f8a3d650fff425e8a85c42a6c6c9ec4,23,2021-01-14T17:50:26.1350+0100,637462398261350000,1626281426
5,5,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3f8a3d650fff425e8a85c42a6c6c9ec4,24,2021-01-14T17:52:09.9420+0100,637462399299420000,1626281530
5,5,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3f8a3d650fff425e8a85c42a6c6c9ec4,25,2021-01-14T17:52:45.8850+0100,637462399658850000,1626281566
5,5,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3f8a3d650fff425e8a85c42a6c6c9ec4,26,2021-01-14T17:53:44.4630+0100,637462400244630000,1626281624
5,4,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3f8a3d650fff425e8a85c42a6c6c9ec4,27,2021-01-14T17:55:44.6070+0100,637462401446070000,1626281745
5,5,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3f8a3d650fff425e8a85c42a6c6c9ec4,28,2021-01-14T17:56:52.8030+0100,637462402128030000,1626281813
23,13,1,2,15,0,417db1c3f6c5414092021ff2ca769e22,,3f8a3d650fff425e8a85c42a6c6c9ec4,29,2021-01-14T18:08:37.2230+0100,637462409172230000,1626282517
18,10,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3f8a3d650fff425e8a85c42a6c6c9ec4,30,2021-01-14T18:11:23.5659+0100,637462410835659000,1626282684
5,5,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3f8a3d650fff425e8a85c42a6c6c9ec4,31,2021-01-14T18:12:28.6959+0100,637462411486959000,1626282749
17,16,1,10,0,0,417db1c3f6c5414092021ff2ca769e22,,3f8a3d650fff425e8a85c42a6c6c9ec4,32,2021-01-14T18:13:29.3980+0100,637462412093980000,1626282809
5,4,1,3,0,0,417db1c3f6c5414092021ff2ca769e22,,3f8a3d650fff425e8a85c42a6c6c9ec4,33,2021-01-14T18:15:43.7330+0100,637462413437330000,1626282944
