Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,Key,Id,Date,DateInTicks,TTL
140,59,2,634,1332,0,417db1c3f6c5414092021ff2ca769e22,47bbe8d2878345788ccbd863c2d02df8,314,2020-06-22T15:18:11.4640-0500,637284538914640000,1608668291
3,0,0,407,0,0,417db1c3f6c5414092021ff2ca769e22,47bbe8d2878345788ccbd863c2d02df8,315,2020-06-22T15:31:02.0580-0500,637284546620580000,1608669062
30,10,3,206,16,0,417db1c3f6c5414092021ff2ca769e22,47bbe8d2878345788ccbd863c2d02df8,316,2020-06-22T15:36:01.7370-0500,637284549617370000,1608669362
23,0,0,237,200,0,417db1c3f6c5414092021ff2ca769e22,47bbe8d2878345788ccbd863c2d02df8,317,2020-06-22T15:37:45.1719-0500,637284550651719000,1608669465
15,0,0,123,0,0,417db1c3f6c5414092021ff2ca769e22,47bbe8d2878345788ccbd863c2d02df8,318,2020-06-22T15:46:10.5310-0500,637284555705310000,1608669971
30,14,2,164,82,0,417db1c3f6c5414092021ff2ca769e22,47bbe8d2878345788ccbd863c2d02df8,319,2020-06-22T15:47:07.7780-0500,637284556277780000,1608670028
12,0,0,123,369,0,417db1c3f6c5414092021ff2ca769e22,47bbe8d2878345788ccbd863c2d02df8,320,2020-06-22T15:58:29.9410-0500,637284563099410000,1608670710
51,22,5,129,215,0,417db1c3f6c5414092021ff2ca769e22,47bbe8d2878345788ccbd863c2d02df8,321,2020-06-22T16:03:05.7480-0500,637284565857480000,1608670986
21,7,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,47bbe8d2878345788ccbd863c2d02df8,322,2020-06-22T16:04:44.0930-0500,637284566840930000,1608671084
13,0,0,287,0,0,417db1c3f6c5414092021ff2ca769e22,47bbe8d2878345788ccbd863c2d02df8,323,2020-06-22T16:12:58.7150-0500,637284571787150000,1608671579
