Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
15,0,0,3,0,0,417db1c3f6c5414092021ff2ca769e22,,49a2b6d7021f48d2aa6b8c56c9e2471d,708,2020-10-31T16:23:31.1060-0500,637397762111060000,1619817811
40,27,3,0,0,0,417db1c3f6c5414092021ff2ca769e22,,49a2b6d7021f48d2aa6b8c56c9e2471d,709,2020-10-31T16:23:57.6929-0500,637397762376929000,1619817838
15,0,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,49a2b6d7021f48d2aa6b8c56c9e2471d,710,2020-10-31T16:24:45.7320-0500,637397762857320000,1619817886
48,33,3,0,0,0,417db1c3f6c5414092021ff2ca769e22,,49a2b6d7021f48d2aa6b8c56c9e2471d,711,2020-10-31T16:26:21.3970-0500,637397763813970000,1619817981
31,19,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,49a2b6d7021f48d2aa6b8c56c9e2471d,712,2020-10-31T16:27:30.0910-0500,637397764500910000,1619818050
63,62,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,49a2b6d7021f48d2aa6b8c56c9e2471d,713,2020-10-31T16:30:08.1250-0500,637397766081250000,1619818208
63,49,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,49a2b6d7021f48d2aa6b8c56c9e2471d,714,2020-10-31T16:31:47.3900-0500,637397767073900000,1619818307
11,8,4,0,0,0,417db1c3f6c5414092021ff2ca769e22,,49a2b6d7021f48d2aa6b8c56c9e2471d,715,2020-10-31T16:34:26.2910-0500,637397768662910000,1619818466
108,93,2,0,0,0,417db1c3f6c5414092021ff2ca769e22,,49a2b6d7021f48d2aa6b8c56c9e2471d,716,2020-10-31T16:36:00.1810-0500,637397769601810000,1619818560
224,197,2,0,0,0,417db1c3f6c5414092021ff2ca769e22,,49a2b6d7021f48d2aa6b8c56c9e2471d,717,2020-10-31T16:38:30.7220-0500,637397771107220000,1619818711
