Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
18,5,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,4e0e607a7bfa41c8820211a5a8f24862,1327,2020-10-22T16:19:37.2090-0400,637389947772090000,1619122777
35,34,2,0,0,0,417db1c3f6c5414092021ff2ca769e22,,4e0e607a7bfa41c8820211a5a8f24862,1328,2020-10-23T11:19:52.1400-0400,637390631921400000,1619191192
15,0,0,3,0,0,417db1c3f6c5414092021ff2ca769e22,,4e0e607a7bfa41c8820211a5a8f24862,1329,2020-10-23T11:23:07.3830-0400,637390633873830000,1619191387
15,0,0,3,0,0,417db1c3f6c5414092021ff2ca769e22,,4e0e607a7bfa41c8820211a5a8f24862,1330,2020-10-23T12:08:40.3860-0400,637390661203860000,1619194120
18,0,0,9,15,0,417db1c3f6c5414092021ff2ca769e22,,4e0e607a7bfa41c8820211a5a8f24862,1331,2020-10-23T13:44:21.0060-0400,637390718610060000,1619199861
14,12,1,8,8,0,417db1c3f6c5414092021ff2ca769e22,,4e0e607a7bfa41c8820211a5a8f24862,1332,2020-10-23T14:05:11.6870-0400,637390731116870000,1619201112
17,4,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,4e0e607a7bfa41c8820211a5a8f24862,1333,2020-10-24T10:21:43.0200-0400,637391461030200000,1619274103
16,1,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,4e0e607a7bfa41c8820211a5a8f24862,1334,2020-10-24T10:35:30.7570-0400,637391469307570000,1619274931
15,0,0,0,2,0,417db1c3f6c5414092021ff2ca769e22,,4e0e607a7bfa41c8820211a5a8f24862,1335,2020-10-24T10:55:22.7470-0400,637391481227470000,1619276123
15,0,0,3,0,0,417db1c3f6c5414092021ff2ca769e22,,4e0e607a7bfa41c8820211a5a8f24862,1336,2020-10-24T11:18:35.0370-0400,637391495150370000,1619277515
