Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
63,19,6,0,0,0,417db1c3f6c5414092021ff2ca769e22,,5f218f65be104f2f88dbb16851ea061c,2629,2020-10-04T23:27:53.9790-0500,637374688739790000,1617596874
63,13,4,0,0,0,417db1c3f6c5414092021ff2ca769e22,,5f218f65be104f2f88dbb16851ea061c,2630,2020-10-04T23:29:12.4780-0500,637374689524780000,1617596952
63,17,8,0,0,0,417db1c3f6c5414092021ff2ca769e22,,5f218f65be104f2f88dbb16851ea061c,2631,2020-10-04T23:30:30.9410-0500,637374690309410000,1617597031
63,0,4,0,0,0,417db1c3f6c5414092021ff2ca769e22,,5f218f65be104f2f88dbb16851ea061c,2632,2020-10-04T23:31:49.6570-0500,637374691096570000,1617597110
63,5,5,0,0,0,417db1c3f6c5414092021ff2ca769e22,,5f218f65be104f2f88dbb16851ea061c,2633,2020-10-04T23:33:08.1440-0500,637374691881440000,1617597188
63,8,4,0,0,0,417db1c3f6c5414092021ff2ca769e22,,5f218f65be104f2f88dbb16851ea061c,2634,2020-10-04T23:34:26.6740-0500,637374692666740000,1617597267
63,5,4,0,0,0,417db1c3f6c5414092021ff2ca769e22,,5f218f65be104f2f88dbb16851ea061c,2635,2020-10-04T23:35:45.2460-0500,637374693452460000,1617597345
63,11,4,0,0,0,417db1c3f6c5414092021ff2ca769e22,,5f218f65be104f2f88dbb16851ea061c,2636,2020-10-04T23:37:03.7920-0500,637374694237920000,1617597424
62,3,3,0,0,0,417db1c3f6c5414092021ff2ca769e22,,5f218f65be104f2f88dbb16851ea061c,2637,2020-10-04T23:38:22.2640-0500,637374695022640000,1617597502
21,9,3,0,0,0,417db1c3f6c5414092021ff2ca769e22,,5f218f65be104f2f88dbb16851ea061c,2638,2020-10-04T23:39:40.0060-0500,637374695800060000,1617597580
