Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
8,7,1,672,0,0,417db1c3f6c5414092021ff2ca769e22,,628ded2887a64a9b8f0d53865c70e090,928,2021-01-18T13:58:54.2430-0500,637465931342430000,1626634734
8,0,0,560,0,0,417db1c3f6c5414092021ff2ca769e22,,628ded2887a64a9b8f0d53865c70e090,929,2021-01-18T13:59:18.3990-0500,637465931583990000,1626634758
9,0,0,672,0,0,417db1c3f6c5414092021ff2ca769e22,,628ded2887a64a9b8f0d53865c70e090,930,2021-01-18T13:59:54.0429-0500,637465931940429000,1626634794
17,4,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,628ded2887a64a9b8f0d53865c70e090,931,2021-01-18T14:00:43.5920-0500,637465932435920000,1626634844
18,15,2,336,0,0,417db1c3f6c5414092021ff2ca769e22,,628ded2887a64a9b8f0d53865c70e090,932,2021-01-18T14:01:04.0630-0500,637465932640630000,1626634864
27,13,2,1904,0,0,417db1c3f6c5414092021ff2ca769e22,,628ded2887a64a9b8f0d53865c70e090,933,2021-01-18T14:03:40.3290-0500,637465934203290000,1626635020
8,0,0,896,0,0,417db1c3f6c5414092021ff2ca769e22,,628ded2887a64a9b8f0d53865c70e090,934,2021-01-18T14:04:57.7280-0500,637465934977280000,1626635098
57,35,1,336,1456,0,417db1c3f6c5414092021ff2ca769e22,,628ded2887a64a9b8f0d53865c70e090,935,2021-01-18T14:36:51.7830-0500,637465954117830000,1626637012
54,39,1,339,791,0,417db1c3f6c5414092021ff2ca769e22,,628ded2887a64a9b8f0d53865c70e090,936,2021-01-18T14:38:06.4150-0500,637465954864150000,1626637086
129,75,3,342,4788,0,417db1c3f6c5414092021ff2ca769e22,,628ded2887a64a9b8f0d53865c70e090,937,2021-01-18T16:32:07.0630-0500,637466023270630000,1626643927
